№ з/п,Параметр [2]_,Тип [1]_,Формат,Опис
3.19.9.1,:green:`associatedReferencedDocuments`.id,O,string,"Документи з вантажем. Номер документа, який водій отримує від вантажовідправника і передає вантажоодержувачеві разом з вантажем (товарні, залізничні накладні, сертифікати, свідоцтва тощо)"
3.19.9.2,:green:`associatedReferencedDocuments`.remarks,O,string,"UUID супровідного документа"
3.19.10,**transportLogisticsPackage**,M, ,"Транспортно-логістичний пакет. ВАЖЛИВО: в Україні дозволяється лише один LogisticsPackage для одного ConsignmentItem!"
3.19.10.1,itemQuantity,O,decimal,"Кількість місць, які визначаються за кожним найменуванням вантажу (це можуть бути ящики, кошики, мішки тощо; якщо вантаж упаковано на піддонах - вказують кількість піддонів)"
3.19.10.2,typeCode,O,string,Вид пакування (`Довідник видів упаковок <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#packaging-types>`__)
3.19.10.3,type,O,string,Одиниця виміру для itemQuantity
3.19.10.4,**physicalLogisticsShippingMarks**,O, ,Маркування
3.19.10.4.1,marking,O,string,"Назва транспортної упаковки (вільна назва), в якій перевозиться вантаж"
3.19.10.4.2.1,**barcodeLogisticsLabel**.id,O,string,Штрихкод товару
3.19.11.1,:green:`applicableNotes` (з кодом VENDOR_CODE).contentCode,O,string,Код VENDOR_CODE
3.19.11.2,:green:`applicableNotes` (з кодом VENDOR_CODE).content,O,string,Артикул товару
3.19.12.1,:green:`applicableNotes` (з кодом QUANTITY).contentCode,O,string,Код QUANTITY
3.19.12.2,:green:`applicableNotes` (з кодом QUANTITY).content,O,string,Кількість товару
3.19.13.1,:green:`applicableNotes` (з кодом URL).contentCode,O,string,Код URL
3.19.13.2,:green:`applicableNotes` (з кодом URL).content,O,string,Посилання на документ
3.19.14.1,:green:`applicableNotes` (з кодом BASE_UOM).contentCode,O,string,Код BASE_UOM
3.19.14.2,:green:`applicableNotes` (з кодом BASE_UOM).content,O,string,Одиниця виміру кількості товару для QUANTITY
3.19.15.1,:green:`applicableNotes` (з кодом BUYER_CODE).contentCode,O,string,Код BUYER_CODE
3.19.15.2,:green:`applicableNotes` (з кодом BUYER_CODE).content,O,string,Артикул покупця (використовується для ідентифікації товарної позиції при прийманні)
3.19.16.1,:green:`applicableNotes` (з кодом PRICE_WITH_VAT).contentCode,O,string,Код PRICE_WITH_VAT
3.19.16.2,:green:`applicableNotes` (з кодом PRICE_WITH_VAT).content,O,string,Ціна за одиницю з ПДВ
3.19.17.1,:green:`applicableNotes` (з кодом SUM_WITHOUT_VAT).contentCode,O,string,Код SUM_WITHOUT_VAT
3.19.17.2,:green:`applicableNotes` (з кодом SUM_WITHOUT_VAT).content,O,string,Загальна сума без ПДВ
3.19.18.1,:green:`applicableNotes` (з кодом RETURN_TARE).contentCode,O,string,Код RETURN_TARE
3.19.18.2,:green:`applicableNotes` (з кодом RETURN_TARE).content,O,string,"Ознака «зворотня тара»"
3.19.19.1,:green:`applicableNotes` (з кодом NET_WEIGHT).contentCode,O,string,Код NET_WEIGHT
3.19.19.2,:green:`applicableNotes` (з кодом NET_WEIGHT).content,O,string,Маса нетто
3.19.20.1,:green:`applicableNotes` (з кодом RTP_TYPE).contentCode,O,string,Код RTP_TYPE
3.19.20.2,:green:`applicableNotes` (з кодом RTP_TYPE).content,O,string,"Тип транспортної упаковки, наприклад, контейнер"
3.19.21.1,:green:`applicableNotes` (з кодом RTP_NAME).contentCode,O,string,Код RTP_NAME
3.19.21.2,:green:`applicableNotes` (з кодом RTP_NAME).content,O,string,"Назва транспортної упаковки, наприклад, контейнер для перевезення сипучих речовин"
3.19.22.1,:green:`applicableNotes` (з кодом RTP_QUANTITY).contentCode,O,string,Код RTP_QUANTITY
3.19.22.2,:green:`applicableNotes` (з кодом RTP_QUANTITY).content,O,string,Кількість транспортної упаковки (використовується для обліку оборотної тари)
3.20,:green:`utilizedLogisticsTransportEquipments`,M, ,**Автомобіль**
3.20.1,id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.20.2.1,:green:`affixedLogisticsSeals`.id,O,string,"Номер пломби, якою проводилося пломбування автомобіля"
3.20.3,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.20.3.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.20.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.20.3.1.2,value,O,decimal,"Значення"
3.20.3.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.20.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.20.3.2.2,value,O,decimal,"Значення"
3.20.4.1,:green:`applicableNotes` (з кодом BRAND).contentCode,M,string,Код BRAND
3.20.4.2,:green:`applicableNotes` (з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
3.20.5.1,:green:`applicableNotes` (з кодом MODEL).contentCode,M,string,Код MODEL
3.20.5.2,:green:`applicableNotes` (з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
3.20.6.1,:green:`applicableNotes` (з кодом COLOR).contentCode,O,string,Код COLOR
3.20.6.2,:green:`applicableNotes` (з кодом COLOR).content,O,string,Колір автомобіля згідно з техпаспортом
3.20.7.1,:green:`applicableNotes` (з кодом TYPE).contentCode,O,string,Код TYPE
3.20.7.2,:green:`applicableNotes` (з кодом TYPE).content,O,string,Тип автомобіля згідно з техпаспортом
3.21,:green:`utilizedLogisticsTransportEquipments` (CategoryCode=TE),O, ,**Причіп/напівпричіп**
3.21.1,id,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом"
3.21.2,categoryCode,M,string,Тип TE - Причіп/напівпричіп
3.21.3,characteristicCode,M,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
3.21.4.1,:green:`affixedLogisticsSeals`.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
3.21.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.21.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.21.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.21.5.1.2,value,O,decimal,"Значення"
3.21.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.21.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.21.5.2.2,value,O,decimal,"Значення"
3.21.6.1,:green:`applicableNotes` (з кодом BRAND).contentCode,M,string,Код BRAND
3.21.6.2,:green:`applicableNotes` (з кодом BRAND).content,M,string,Марка причіпа/напівпричіпа згідно з техпаспортом
3.21.7.1,:green:`applicableNotes` (з кодом MODEL).contentCode,M,string,Код MODEL
3.21.7.2,:green:`applicableNotes` (з кодом MODEL).content,M,string,Модель причіпа/напівпричіпа згідно з техпаспортом
3.21.8.1,:green:`applicableNotes` (з кодом COLOR).contentCode,O,string,Код COLOR
3.21.8.2,:green:`applicableNotes` (з кодом COLOR).content,O,string,Колір причіпа/напівпричіпа згідно з техпаспортом
3.21.9.1,:green:`applicableNotes` (з кодом TYPE).contentCode,O,string,Код TYPE
3.21.9.2,:green:`applicableNotes` (з кодом TYPE).content,O,string,Тип причіпа/напівпричіпа згідно з техпаспортом
3.22,:green:`utilizedLogisticsTransportEquipments` (CategoryCode=CN),O, ,**Контейнер**
3.22.1,categoryCode,M,string,Тип CN - Контейнер
3.22.2,characteristicCode,M,string,"Тип контейнера:

* 21 - 20-футовий
* 23 - 40-футовий"
3.22.3,id,M,string,Ідентифікаційний номер контейнера
3.22.4.1,:green:`affixedLogisticsSeals`.id,O,string,"Номер пломби, якою проводилося пломбування контейнера"
3.22.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.22.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.22.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.22.5.1.2,value,O,decimal,"Значення"
3.22.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.22.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.22.5.2.2,value,O,decimal,"Значення"
3.23,**mainCarriageLogisticsTransportMovement**,O, ,**Маршрутизація (проміжні пункти перевантаження)**. Заповнюється Перевізником
3.23.1,**specifiedTransportEvents**,M, ,Проміжне розвантаження
3.23.1.1,id,M,string,Порядковий номер проміжного розвантаження події (події завжди нумеруються в порядку поступового зростання за принципом N+1)
3.23.1.2,typeCode,M,string,"Тип операції (розвантаження=5); завжди одне значення (5), оскільки використовується як планові пункти розвантаження"
3.23.1.3,description,O,string,Опис
3.23.1.4,**occurrenceLogisticsLocation**,M, ,Місцезнаходження
3.23.1.4.1.1,**id**.schemeAgencyID,M,string,Код КАТОТТГ складу тимчасового зберігання відповідно до Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад
3.23.1.4.1.2,**id**.value,M,string,Значення
3.23.1.4.2,name,O,string,Найменування та адреса (Місцезнаходження складу)
3.23.1.4.3,typeCode,M,string,"Тип операції (розвантаження=5); завжди одне значення (5), оскільки використовується як планові пункти розвантаження"
3.23.1.4.4,description,O,string,Додаткова інформація складу тимчасового зберігання
3.23.1.5,:green:`certifyingTradeParties` (RoleCode=WD),M, ,Юридична особа Проміжного складу
3.23.1.5.1.1,**id**.schemeAgencyID,M,string,"ЄДРПОУ підприємства (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
3.23.1.5.1.2,**id**.value,M,decimal,Значення
3.23.1.5.2,name,M,string,"Повне найменування Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
3.23.1.5.3,roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.23.1.5.4,**tradeContact**,O, ,Контакти відповідальні особи Проміжного складу
3.23.1.5.4.1,personName,O,string,ПІБ відповідальні особи Проміжного складу
3.23.1.5.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.23.1.5.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.23.1.5.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.23.1.5.5,**postalTradeAddress**,M, ,"Юридична адреса Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
3.23.1.5.5.1,postCode,O,string,Індекс
3.23.1.5.5.2,streetName,M,string,Адреса (Назва вулиці + номер будівлі)
3.23.1.5.5.3,cityName,M,string,Місто (Назва населеного пункту)
3.23.1.5.5.4,countryID,M,string,Країна (UA)
3.23.1.5.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.23.1.5.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.24,**deliveryInstructions**,M, ,**Вид перевезень**
3.24.1,description,O,string,"Опис (вид роботи перевізника: за відрядним тарифом, за погодинним тарифом, за покілометровим тарифом, централізовані перевезення тощо)"
3.24.2,descriptionCode,M,string,Код (TRANSPORTATION_TYPE)
3.25,**previousAdministrativeReferencedDocument**,-/M, ,"**Попередня транзакція ECMR, на основі якої складено поточний документ**. Блок не вказується, якщо документ створено з «нуля»"
3.25.1,typeCode,O,string,"Тип документа, на основі якого складено поточний документ. `Довідник кодів документів <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__"
3.25.2,id,M,string,Відповідає ExchangedDocumentContext.SpecifiedTransactionID попередніх версій
3.25.3,remarks,O,string,Base64 документа попередньої версії
3.25.4.1,**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання попереднього ECMR документа
3.25.5,**attachedSpecifiedBinaryFile**,O, ,"Вкладений бінарний файл документа, на основі якого складено поточний документ"
3.25.5.1,id,M,string,Відповідає document.id із ЦБД еТТН
3.25.5.2,uriid,M,string,Посилання на документ
3.25.5.3,MIMECode,O,string,Код `MIME типізації <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
3.25.5.4,SizeMeasure,M,Long,Розмір файлу
II,**signatureStorage**,M, ,**Підписи**
4,**signatures** (SigningPartyRoleCode=CZ),M, ,**КЕП Вантажовідправника**
4.1,signingPartyRoleCode,M,string,Роль підписанта (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2,partySignature,M,string,Підпис (base64 підпису p7s)
4.3,name,M,string,ПІБ підписанта (відповідальної особи вантажовідправника)
4.4,position,O,string,Посада підписанта (відповідальної особи вантажовідправника)
4.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП відповідальної особи вантажовідправника
5,**signatures** (SigningPartyRoleCode=DR),M, ,**КЕП Водія**
5.1,signingPartyRoleCode,M,string,Роль підписанта (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (Водія)
5.4,position,O,string,Посада підписанта (Водія)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Водія)
6,**signatures** (SigningPartyRoleCode=CA),M, ,**КЕП Перевізника**
6.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,M,string,Підпис (base64 підпису p7s)
6.3,name,M,string,ПІБ підписанта (відповідальної особи Перевізника)
6.4,position,O,string,Посада підписанта (відповідальної особи Перевізника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Перевізника)
7,**signatures** (SigningPartyRoleCode=CN),M, ,**КЕП Вантажоодержувача**
7.1,signingPartyRoleCode,M,string,Роль підписанта (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (відповідальної особи Вантажоодержувача)
7.4,position,O,string,Посада підписанта (відповідальної особи Вантажоодержувача)
7.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Вантажоодержувача)
