Параметр,Тип [1]_,Формат,Опис
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).name,M,string,"Посада водія, що здав вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**tradeContact**.personName,M,string,"ПІБ водія, що здав вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.schemeAgencyID,O,string,РНОКПП Водія
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).name,M,string,"Посада відповідальної особи Перевізника"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.schemeAgencyID,O,string,РНОКПП Перевізника
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).name,M,string,"Посада відповідальної особи Експедитора"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Експедитора"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.schemeAgencyID,O,string,РНОКПП Експедитора
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).contentCode,O,string,Код GROSSWEIGHT
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).content,O,decimal,"Маса брутто отриманого вантажу в місці розвантаження в кілограмах"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**applicableNotes**(з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**applicableNotes**(з кодом DOWNTIME).content,O,unsignedByte,Час (години) простою під розвантаженням
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля під навантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під навантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).name,M,string,"Посада матеріально відповідальної особи, яка відпускає вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).**tradeContact**.personName,M,string,"ПІБ матеріально відповідальної особи, яка відпускає вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).**id**.schemeAgencyID,M,string,"РНОКПП матеріально відповідальної особи, яка відпускає вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).name,M,string,"Посада водія, що прийняв вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**tradeContact**.personName,M,string,"ПІБ водія, що прийняв вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.schemeAgencyID,O,string,РНОКПП Водія
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).name,M,string,"Посада відповідальної особи Перевізника"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.schemeAgencyID,O,string,РНОКПП Перевізника
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).name,M,string,"Посада відповідальної особи Експедитора"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Експедитора"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.schemeAgencyID,O,string,РНОКПП Експедитора
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).contentCode,M,string,Код GROSSWEIGHT
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).content,M,decimal,"Маса брутто зданого/отриманого вантажу в кілограмах"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**applicableNotes**(з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**pickUpTransportEvent**.**applicableNotes**(з кодом DOWNTIME).content,O,unsignedByte,Час простою
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.sequenceNumeric,M,int,Порядковий номер рядка в таблиці
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**invoiceAmount**.currencyId,M,string,Загальна сума з ПДВ. Тризначний код валюти (UAH)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**invoiceAmount**.value,M,decimal,Загальна сума з ПДВ. Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**grossWeightMeasure**.unitCode,M,string,Маса брутто вантажу по кожному рядку в кг. `Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**grossWeightMeasure**.value,M,decimal,Маса брутто вантажу по кожному рядку в кг. Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**tariffQuantity**.unitCode,O,string,Ціна без ПДВ за одиницю в грн. Це можуть бути як гривні на кілограм (грн./кг) так і гривні на ящик (грн./ящик) - залежить від зазначеної одиниці виміру. Код одиниці виміру («UAH»)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**tariffQuantity**.value,O,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**globalID**.schemeAgencyID,O,string(min 4 - max 10),УКТЗЕД (код продукції)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**globalID**.value,O,string,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**natureIdentificationTransportCargo**.identification,M,string,Найменування вантажу
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableTransportDangerousGoods**.UNDGIdentificationCode,O,decimal,"Клас небезпечних речовин, до якого віднесено вантаж (у разі перевезення небезпечних вантажів). Код UNDG, 0 - якщо не використовується"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**associatedReferencedLogisticsTransportEquipment**.id,O,string,"Номер контейнера, в якому завантажено цей вантаж. Використовуєься опційно для контейнерих перевезень і має відповідати даним тегу utilizedLogisticsTransportEquipments"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**associatedReferencedDocuments**.id,O,string,"Номер документа, який водій отримує від вантажовідправника і передає вантажоодержувачеві разом з вантажем (товарні, залізничні накладні, сертифікати, свідоцтва тощо)"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**associatedReferencedDocuments**.remarks,O,string,"UUID супровідного документа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**transportLogisticsPackage**.itemQuantity,O,decimal,"Кількість місць, які визначаються за кожним найменуванням вантажу (це можуть бути ящики, кошики, мішки тощо; якщо вантаж упаковано на піддонах - вказують кількість піддонів)"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**transportLogisticsPackage**.typeCode,O,string,Вид пакування (`Довідник видів упаковок <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#packaging-types>`__)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**transportLogisticsPackage**.type,O,string,Одиниця виміру для itemQuantity
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**transportLogisticsPackage**.**physicalLogisticsShippingMarks**.marking,O,string,"Назва транспортної упаковки (вільна назва), в якій перевозиться вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**transportLogisticsPackage**.**physicalLogisticsShippingMarks**.**barcodeLogisticsLabel**.id,O,string,Штрихкод товару
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом VENDOR_CODE).contentCode,O,string,Код VENDOR_CODE
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом VENDOR_CODE).content,O,string,Артикул товару
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом QUANTITY).contentCode,O,string,Код QUANTITY
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом QUANTITY).content,O,string,Кількість товару
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом URL).contentCode,O,string,Код URL
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом URL).content,O,string,Посилання на документ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом BASE_UOM).contentCode,O,string,Код BASE_UOM
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом BASE_UOM).content,O,string,Одиниця виміру кількості товару для QUANTITY
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом BUYER_CODE).contentCode,O,string,Код BUYER_CODE
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом BUYER_CODE).content,O,string,Артикул покупця (використовується для ідентифікації товарної позиції при прийманні)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом PRICE_WITH_VAT).contentCode,O,string,Код PRICE_WITH_VAT
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом PRICE_WITH_VAT).content,O,string,Ціна за одиницю з ПДВ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом SUM_WITHOUT_VAT).contentCode,O,string,Код SUM_WITHOUT_VAT
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом SUM_WITHOUT_VAT).content,O,string,Загальна сума без ПДВ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RETURN_TARE).contentCode,O,string,Код RETURN_TARE
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RETURN_TARE).content,O,string,"Ознака «зворотня тара»"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом NET_WEIGHT).contentCode,O,string,Код NET_WEIGHT
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом NET_WEIGHT).content,O,string,Маса нетто
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RTP_TYPE).contentCode,O,string,Код RTP_TYPE
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RTP_TYPE).content,O,string,"Тип транспортної упаковки, наприклад, контейнер"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RTP_NAME).contentCode,O,string,Код RTP_NAME
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RTP_NAME).content,O,string,"Назва транспортної упаковки, наприклад, контейнер для перевезення сипучих речовин"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RTP_QUANTITY).contentCode,O,string,Код RTP_QUANTITY
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**includedSupplyChainConsignmentItems**.**applicableNotes**(з кодом RTP_QUANTITY).content,O,string,Кількість транспортної упаковки (використовується для обліку оборотної тари)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування автомобіля"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**handlingInstructions**.**applicableTransportSettingTemperature**.minimum,O,string,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**handlingInstructions**.**applicableTransportSettingTemperature**.maximum,O,string,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом BRAND).contentCode,M,string,Код BRAND
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом MODEL).contentCode,M,string,Код MODEL
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом COLOR).contentCode,O,string,Код COLOR
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом COLOR).content,O,string,Колір автомобіля згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом TYPE).contentCode,O,string,Код TYPE
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**.**applicableNotes**(з кодом TYPE).content,O,string,Тип автомобіля згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).id,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).categoryCode,M,string,Тип TE - Причіп/напівпричіп
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).characteristicCode,M,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**handlingInstructions**.**applicableTransportSettingTemperature**.minimum,O,string,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**handlingInstructions**.**applicableTransportSettingTemperature**.maximum,O,string,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом BRAND).contentCode,M,string,Код BRAND
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом BRAND).content,M,string,Марка причіпа/напівпричіпа згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом MODEL).contentCode,M,string,Код MODEL
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом MODEL).content,M,string,Модель причіпа/напівпричіпа згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом COLOR).contentCode,O,string,Код COLOR
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом COLOR).content,O,string,Колір причіпа/напівпричіпа згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом TYPE).contentCode,O,string,Код TYPE
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=TE).**applicableNotes**(з кодом TYPE).content,O,string,Тип причіпа/напівпричіпа згідно з техпаспортом
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=CN).categoryCode,M,string,Тип CN - Контейнер
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=CN).characteristicCode,M,string,"Тип контейнера:

* 21 - 20-футовий
* 23 - 40-футовий"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=CN).id,M,string,Ідентифікаційний номер контейнера
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=CN).**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування контейнера"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=CN).**handlingInstructions**.**applicableTransportSettingTemperature**.minimum,O,string,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**utilizedLogisticsTransportEquipments**(CategoryCode=CN).**handlingInstructions**.**applicableTransportSettingTemperature**.maximum,O,string,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.id,M,string,Порядковий номер проміжного розвантаження події (події завжди нумеруються в порядку поступового зростання за принципом N+1)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.typeCode,M,string,"Тип операції (розвантаження=5); завжди одне значення (5), оскільки використовується як планові пункти розвантаження"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.description,O,string,Опис
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**occurrenceLogisticsLocation**.**id**.schemeAgencyID,M,string,Код КАТОТТГ складу тимчасового зберігання відповідно до Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**occurrenceLogisticsLocation**.**id**.value,M,string,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**occurrenceLogisticsLocation**.name,O,string,Найменування та адреса (Місцезнаходження складу)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**occurrenceLogisticsLocation**.typeCode,M,string,"Тип операції (розвантаження=5); завжди одне значення (5), оскільки використовується як планові пункти розвантаження"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**occurrenceLogisticsLocation**.description,O,string,Додаткова інформація складу тимчасового зберігання
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**id**.schemeAgencyID,M,string,"ЄДРПОУ підприємства (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**mainCarriageLogisticsTransportMovement**.**specifiedTransportEvents**.**certifyingTradeParties**(RoleCode=WD).**id**.value,M,decimal,Значення
