YT,"Комбіноване пакування, скляна ємність у барабані фанерному","Composite packaging, glass receptacle in plywood drum",
YV,"Комбіноване пакування, скляна ємність у плетеному кошику","Composite packaging, glass receptacle in wickerwork hamper",
YW,"Комбіноване пакування, скляна ємність у барабані фібровому","Composite packaging, glass receptacle in fibre drum",
YX,"Комбіноване пакування, скляна ємність у коробці з фібрового картону","Composite packaging, glass receptacle in fibreboard box",
YY,"Комбіноване пакування, скляна ємність у пінопластовому пакеті","Composite packaging, glass receptacle in expandable plastic pack",
YZ,"Комбіноване пакування, скляна ємність у пакеті з твердої пластмаси","Composite packaging, glass receptacle in solid plastic pack",
ZA,"Контейнер середньої вантажопідйомності для масових вантажів, паперовий, багатошаровий","Intermediate bulk container, paper, multi-wall",
ZB,Мішок великий,"Bag, large",
ZC,"Контейнер середньої вантажопідйомності для масових вантажів, паперовий, багатошаровий, водонепроникний","Intermediate bulk container, paper, multi-wall, water resistant",
ZD,"Контейнер середньої вантажопідйомності для твердих навалювальних/насипних вантажів, з твердого пластику з структурним оснащенням","Intermediate bulk container, rigid plastic, with structural equipment, solids",
ZF,"Контейнер середньої вантажопідйомності для твердих навалювальних/насипних вантажів, з твердого пластику автономний","Intermediate bulk container, rigid plastic, freestanding, solids",
ZG,"Контейнер середньої вантажопідйомності для масових вантажів, з твердого пластику, з структурним оснащенням, герметизований","Intermediate bulk container, rigid plastic, with structural equipment, pressurised",
ZH,"Контейнер середньої вантажопідйомності для масових вантажів, з твердого пластику, автономний, герметизований","Intermediate bulk container, rigid plastic, freestanding, pressurised",
ZJ,"Контейнер середньої вантажопідйомності для наливних вантажів, з твердого пластику, з структурним оснащенням","Intermediate bulk container, rigid plastic, with structural equipment, liquids",
ZK,"Контейнер середньої вантажопідйомності для наливних вантажів, з твердого пластику, автономний","Intermediate bulk container, rigid plastic, freestanding, liquids",
ZL,"Контейнер середньої вантажопідйомності для твердих навалювальних/насипних вантажів, складний з твердого пластику","Intermediate bulk container, composite, rigid plastic, solids",
ZM,"Контейнер середньої вантажопідйомності для твердих навалювальних/насипних вантажів, складний з гнучкого пластику","Intermediate bulk container, composite, flexible plastic, solids",
ZN,"Контейнер середньої вантажопідйомності для масових вантажів, складний з твердого пластику, герметизований","Intermediate bulk container, composite, rigid plastic, pressurised",
ZP,"Контейнер середньої вантажопідйомності для наливних вантажів, складний з гнучкого пластику, герметизований","Intermediate bulk container, composite, flexible plastic, pressurised",
ZQ,"Контейнер середньої вантажопідйомності для наливних вантажів, складний з твердого пластику","Intermediate bulk container, composite, rigid plastic, liquids",
ZR,"Контейнер середньої вантажопідйомності для наливних вантажів, з гнучкого пластику","Intermediate bulk container, composite, flexible plastic, liquids",
ZS,"Контейнер середньої вантажопідйомності для масових вантажів, складний","Intermediate bulk container, composite",
ZT,"Контейнер середньої вантажопідйомності для масових вантажів, з фібрового картону","Intermediate bulk container, fibreboard",
ZU,"Контейнер середньої вантажопідйомності для масових вантажів, гнучкий","Intermediate bulk container, flexible",
ZV,"Контейнер середньої вантажопідйомності для наливних вантажів, металевий, окрім сталевих","Intermediate bulk container, metal, other than steel",
ZW,"Контейнер середньої вантажопідйомності для масових вантажів, з натуральної деревини","Intermediate bulk container, natural wood",
ZX,"Контейнер середньої вантажопідйомності для масових вантажів, фанерний","Intermediate bulk container, plywood",
ZY,"Контейнер середньої вантажопідйомності для масових вантажів, з відтвореної деревини","Intermediate bulk container, reconstituted wood",
ZZ,За взаємним визначенням,Mutually defined,
