Code,Name,Description,,Назва укр.,Опис укр.
DEK,Mooring service provider ,"
 Party responsible for mooring the vessel at the berth in the port. Synonym: Boatmen.",,Постачальник послуг швартування,"Сторона, відповідальна за швартування судна на причалі в порту. Синонім: Човенник."
DEL,Pilotage service provider ,"
 Party responsible for the pilotage of the vessel.",,Постачальник лоцманських послуг,"Сторона, відповідальна за пілотаж судна."
DEM,Berth towage service provider , Party responsible for towing the vessel to/from the berth in the port.,,Постачальник послуг буксирування причалу,"Сторона, відповідальна за буксирування судна до/від причалу в порту."
DEN,"Agent/representative, direct representation ","
 Party authorised to act in the name and on behalf of another person.",,"Агент/представник, пряме представництво","Сторона, уповноважена діяти від імені та в інтересах іншої особи."
DEO,"Agent/representative, indirect representation ","
 Party authorised to act in its own name but on behalf of another person.",,"Агент/представник, непряме представництво","Сторона, уповноважена діяти від свого імені, але в інтересах іншої особи."
DEP,Stevedore ,"
 A party which handles the loading and unloading of marine vessels from several terminals.",,Портовий вантажник,"Сторона, яка здійснює навантаження та розвантаження морських суден з кількох терміналів."
DEQ,Shipper,"Party responsible for the shipment of goods.
",,Вантажовідправник,"Сторона, відповідальна за відвантаження товару."
DER,Source data pool ,"
 A data pool that supports the functionality required by a data source such as data loading, publication, notification, registration, etc.",,Пул вихідних даних,"Пул даних, що підтримує функціональні можливості, необхідні джерелу даних, такі як завантаження даних, публікація, сповіщення, реєстрація тощо."
DES,Brand owner ,"
 The owner of a brand.",,Власник бренду,Власник бренду.
DET,Cockpit crew ,"
 Cockpit crew and personnel inside cockpit.",,Екіпаж кабіни,Екіпаж і персонал в кабіні.
DEU,Cabin crew ,"
 Crew members operating in passenger cabin.",,Кабіна екіпажу,"Члени екіпажу, що працюють у салоні пасажирів."
DEV,"Airline operations management, not in cockpit ","
 Personnel of the airline operations management department positioned outside the cockpit.",,"Управління операціями авіакомпанії, а не в кабіні","Персонал відділу управління експлуатацією авіакомпанії, розташований поза кабіною."
DEW,Cargo non-cockpit crew and/or non-crew personnel ,"
 Employees of the carrier, cargo groomers, or special cargo handlers, that are not authorized to ride in the cockpit.",,"Вантажний екіпаж та/або персонал, що не є членом екіпажу","Співробітники перевізника, вантажні грумери або спеціальні вантажообробники, які не мають права їздити в кабіні."
DEX,Pilots seated outside cockpit ,"
 Pilots currently not in charge of flying the aircraft and not present in the cockpit.",,"Пілоти, що не знаходяться в кабіні пілота",На даний момент пілоти не відповідають за керування літаком і відсутні в кабіні.
DEY,Commercial verifier ,"
 A party recognized under relevant legislation to undertake official verification.",,Комерційний верифікатор,"Сторона, визнана відповідно до відповідного законодавства для проведення офіційної перевірки."
DEZ,Authorized issuer ,"
 A person authorized under relevant legislation for the purpose of issuing official assurances.",,Уповноважений видавець,"Особа, уповноважена відповідно до законодавства з метою надання офіційних гарантій."
DF,Documentary credit applicant ,"
 [3198] Party at whose request the applicant's bank/issuing bank is to issue a documentary credit.",,Заявник документального кредиту,"[3198] Сторона, на вимогу якої банк-заявник/банк-емітент має видати документальний кредит."
DFA,Bank for deposit of duties/taxes/fees ,"
 Bank that is authorized to receive the deposit for duties, taxes, and fees.",,Банк для внесення мита/податків/зборів,"Банк, уповноважений отримувати депозит для сплати мита, податків та зборів."
DFB,Company security officer (IMO Circular MSC 1130) ,"
 The company security officer as described in IMO Circular MSC 1130.",,Офіцер служби безпеки компанії (IMO Circular MSC 1130),"Офіцер служби безпеки компанії, як описано в IMO Circular MSC 1130."
DFC,Distiller ,"
 The party providing distillation services.",,Дистилятор,"Сторона, що надає послуги дистиляції."
DFD,Drayman/lighterman ,"
 The bonded (insured) party that moves goods within port limits.",,Тягловий візник,"Зобов'язана (застрахована) сторона, яка переміщує товари в межах порту."
DFE,Exhibitor ,"
 The party who offers items for exhibit or show.",,Експонент,"Сторона, яка пропонує предмети для виставки чи шоу."
DFF,Feedlot , A commercial establishment that feeds livestock.,,Годівниця,"Комерційна установа, яка годує худобу."
DFG,Government official ,"
 A person appointed to some position of responsibility or authority in the government.",,Урядовець,"Особа, призначена на певну відповідальну посаду чи владу в уряді."
DFH,Government service requestor ,"
 The party requesting inspection, grading, or other government service.",,Заявник державних послуг,"Сторона, яка подає запит на перевірку, оцінку чи інші державні послуги."
DFI,Crop grower ,"
 The party who grows crops.",,Вирощувач сільськогосподарських культур,"Сторона, яка вирощує врожай."
DFJ,ISPS Responsible Party ,"
 The responsible party as identified and defined in the International Ship and Port Facility Security Code (ISPS).",,Відповідальна сторона ISPS,"Відповідальна сторона, визначена та  конкретизована у Міжнародному кодексі безпеки суден та портових споруд (ISPS)."
DFK,LPCO authorized party ,"
 The party to whom the License, Permit, Certificate, or Other required document (LPCO) is issued.",,Уповноважена сторона LPCO,"Сторона, якій видається Ліцензія, Дозвіл, Сертифікат або Інший необхідний документ (LPCO)."
DFL,"Operator of property, registered ","
 The registered operator of the property.",,"Оператор майна, зареєстрований",Зареєстрований оператор нерухомості.
DFM,"Organic growth certifier, accredited ","
 An organization that is accredited to certify organic growth processes.",,"Сертифікатор з органічного росту, акредитований","Організація, яка акредитована для сертифікації процесів органічного зростання."
DFN,Party holding Certificate of Financial Responsibility ,"
 The party holding the Certificate of Financial Responsibility (COFR).",,"Сторона, що має свідоцтво про фінансову відповідальність","Сторона, яка має Свідоцтво про фінансову відповідальність (COFR)."
DFO,Port facility security officer ,"
 The individual (person) designated as the port facility security officer responsible for port security requirements.",,Офіцер охорони портового об'єкта,"Фізична особа (особа), призначена офіцером охорони портового об'єкта, є відповідальною за вимоги безпеки в порту."
DFP,Vehicle owner ,"
 The owner of the vehicle.",,Власник транспортного засобу,Власник транспортного засобу.
DFQ,"Security certificate issuer, recognized ","
 Organization recogized for issuing security certificates.",,"Видавець сертифіката безпеки, визнаний","Організація, визнана у видачі сертифікатів безпеки."
DFR,Ship Security Officer ,"
 The person who is appointed as Ship Security Officer (SSO).",,Офіцер корабельної безпеки,"Особа, яка призначається на посаду офіцера корабельної безпеки (SSO)."
DFS,"Certificate issuer, veterinary ","
 The person who issues veterinary certificates.",,"Видавець сертифікатів, ветеринар","Особа, яка видає ветеринарні сертифікати."
DFT,Assembler ,"
 The party putting together various components or parts into a product or commodity.",,Складальник,"Сторона, яка об'єднує різні компоненти або деталі в продукт чи товар."
DFU,Competitor ,"
 The party is a competitor.",,Конкурент,Сторона є конкурентом.
DFV,Right holder ,"
 Party holding exclusive rights to a protected intellectual property.",,Правовласник,"Сторона, яка володіє виключними правами на охоронювану інтелектуальну власність."
DFW,Authorised Economic Operator (AEO) , Party approved by Customs as complying with WCO or equivalent supply-chain security standards.,,Уповноважений господарський оператор (АЕО),"Сторона, затверджена митницею як відповідаюча стандартам WCO або еквівалентним стандартам безпеки ланцюга поставок."
DFX,Manufacturer of equipment ,"
 Party who manufactures equipment.",,Виробник обладнання,"Сторона, яка виробляє обладнання."
DFY,Crew other ship ,"
 Crew for another vessel.",,Екіпаж іншого корабля,Екіпаж іншого судна.
DFZ,Article information responsible party ,"
 The party responsible for article information.",,"Сторона, відповідальна за інформацію статті","Сторона, відповідальна за інформацію про статті."
DG,Documentary credit beneficiary ,"
 Party in whose favour the documentary credit is to be issued and the party that must comply with the credit's terms and conditions.",,Бенефіціар документального кредиту,"Сторона, на користь якої має бути виданий документальний кредит, та сторона, яка повинна дотримуватись умов кредиту."
DGA,Price information responsible party ,"
 The party responsible for price information.",,"Сторона, відповідальна за інформацію про ціну","Сторона, відповідальна за інформацію про ціну."
DGB,Invoice processing party ," Party to whom the invoice is sent and who processes the invoice on behalf of the invoicee. Note, the invoicee is legally responsible for the invoice and can be different to the processing party.",,Сторона обробки рахунків-фактур,"Сторона, якій надсилається рахунок-фактура і яка обробляє рахунок-фактуру від імені фактурувальника. Зауважте, що особа, яка його заповнює, несе юридичну відповідальність за рахунок-фактуру і може відрізнятися від сторони, що обробляє рахунок."
DGC,Logistic service provider ,"
 A party providing logistic services for another party (e.g re-packing suppliers products).",,Постачальник логістичних послуг,"Сторона, що надає логістичні послуги іншій стороні (наприклад, перепаковує продукцію постачальників)."
DGD,Fattener ,"
 Party which provides fattening service.",,Відгодівельна компанія,"Сторона, яка надає послуги відгодівлі."
DGE,Breeder ,"
 Party which provides breeding service.",,Селекціонер,"Сторона, яка надає послуги з розведення."
DGF,Terminal operator," 
 A party which handles the loading and unloading of means of transport.",,Оператор терміналу,"Сторона, яка здійснює навантаження та розвантаження транспортних засобів."
DGG,Balancing Service Provider ,"
 A party with reserve-providing units or reserve-providing groups able to provide balancing services to one or more LFC Operators.",,Постачальник послуг балансування,"Сторона з підрозділами, що надають резерви, або групами, що надають резерви, здатні надавати послуги збалансування одному або кільком операторам LFC."
DGH,Consent Administrator ,"
 A party responsible for keeping a register of consents for a domain. The Consent Administrator makes this information available on request for entitled parties in the sector.",,Адміністратор для згоди,"Сторона, відповідальна за ведення реєстру згод на домен. Адміністратор згоди надає цю інформацію на запит правомочним особам у секторі."
DGI,Energy Service Company (ESCO) ,"
 A party offering energy-related services to the Party Connected to Grid, but not directly active in the energy value chain or the physical infrastructure itself. The ESCO may provide insight services as well as energy management services.",,Енергосервісна компанія (ESCO),"Сторона, яка пропонує послуги підключення до електромережі, послуги, пов'язані з енергоспоживанням, але не має безпосередньої активності у ланцюжку створення вартості енергії або у самій фізичній інфраструктурі. ESCO може надавати послуги аналізу, а також послуги з управління енергоспоживанням."
DGJ,Resource Aggregator ,"
 A party that aggregates resources for usage by a service provider for energy market services.",,Агрегатор ресурсів,"Сторона, яка об'єднує ресурси для використання постачальником послуг для сервісів на ринку енергоносіїв."
DGK,Resource Provider ,"
 A role that manages a resource and provides production/consumption schedules for it, if required.",,Постачальник ресурсів,"Роль, яка керує ресурсом та надає для нього графіки виробництва/споживання, якщо це необхідно."
DH,Documentary credit account party ,"
 Party which is responsible for the payment settlement of the documentary credit with the applicant's bank/issuing bank, if different from the documentary credit applicant.",,Сторона документального кредитного рахунку,"Сторона, яка відповідає за розрахунки з документарним кредитом у банку-емітенті, якщо він відрізняється від заявника документального кредиту."
DI,Documentary credit second beneficiary ,"
 Party to whom the documentary credit can be transferred.",,Документальний кредит другого бенефіціара,"Сторона, якій можна передати документальний кредит."
DJ,Party according to documentary credit transaction ,"
 Party related to documentary credit transaction.",,Сторона відповідно до документальної кредитної операції,"Сторона, пов'язана з документальною кредитною операцією."
DK,Documentary credit beneficiary's bank ,"
 Financial institution with which the beneficiary of the documentary credit maintains an account.",,Банк бенефіціара документарного кредиту,"Фінансова установа, в якій бенефіціар документарного кредиту веде рахунок."
DL,Factor ,"
 Company offering a financial service whereby a firm sells or transfers title to its accounts receivable to the factoring company.",,Фактор,"Компанія, що пропонує фінансову послугу, завдяки якій фірма продає або передає право власності на свою дебіторську заборгованість факторинговій компанії."
DM,Party to whom documents are to be presented ,"
 Party to whom documents are to be presented.",,"Сторона, якій подаються документи","Сторона, якій подаються документи."
DN,Owner of operation ,"
 Owner of the operation.",,Власник операції,Власник операції.
DO,Document recipient ,"
 [1370] Party which should receive a specified document.",,Одержувач документа,"[1370] Сторона, яка повинна отримати зазначений документ."
DP,Delivery party ,"
 [3144] Party to which goods should be delivered, if not identical with consignee, such as the place where a container is to be, or has been, positioned.",,Сторона доставки,"[3144] Сторона, до якої мають бути доставлені товари, якщо вони не ідентичні з одержувачем, наприклад, місце, де має бути розміщений або був розміщений контейнер."
DQ,Owner's agent ,"
 Person acting on delegation of powers of the owner.",,Агент власника,"Особа, що діє за делегованими повноваженнями власника."
DR,Driver ,"
 Person who drives a means of transport.",,Водій,"Особа, яка керує транспортним засобом."
DS,Distributor ,"
 Party distributing goods, financial payments or documents.",,Покупець (Дистриб'ютор),"Сторона, яка розповсюджує товари, фінансові платежі або документи."
DT,Declarant ,"
 [3140] Party which makes a declaration to an official body or - where legally permitted - in whose name, or on whose behalf, a declaration to an official body is made.",,Декларант,"[3140] Сторона, яка робить заяву офіційному органу або - якщо це дозволено законом - від імені чи від імені якого робиться заява до офіційного органу."
DU,Owner's representative ,"
 Person commissioned by the owner to represent him in certain circumstances.",,Представник власника,"Особа, уповноважена власником представляти його за певних обставин."
DV,Project management office ,"
 Party commissioned by the owner to follow through the execution of all works.",,Офіс управління проектами,"Сторона, уповноважена власником стежити за виконанням усіх робіт."
DW,Drawee ,"
 (3290) Party on whom drafts must be drawn.",,Проектант,"(3290) Сторона, на яку мають бути складені проекти"
DX,Engineer (construction) ,"
 Party representing the contractor to advise and supervise engineering aspects of the works.",,Інженер (будівництво),"Сторона, що представляє підрядника для консультування та нагляду за інженерними аспектами робіт."
DY,"Engineer, resident (construction) ","
 Party commissioned by the owner to advise and supervise engineering aspects of the works.",,"Інженер, резидент (будівництво)","Сторона, доручена власником консультувати та контролювати інженерні аспекти робіт."
DZ,Architect ,"
 A designer who prepares plans for buildings, ships, etc. and supervises their construction.",,Архітектор,"Проектувальник, який готує плани будівель, кораблів тощо та контролює їх будівництво."
EA,Architect-designer ,"
 Designer of the construction project.",,Архітектор-дизайнер,Дизайнер будівельного проекту.
EB,Building inspectorate ,"
 Party controlling the conformity of works to legal and regulation rules.",,Будівельна інспекція,"Сторона, що контролює відповідність робіт згідно з законодавчими і нормативними правилами."
EC,Exchanger ,"
 Party exchanging currencies or goods.",,Обмінник,"Сторона, що здійснює обмін валют або товарів."
ED,"Engineer, consultant ","
 Party providing professional engineering services.",,"Інженер, консультант","Сторона, що надає професійні інженерні послуги."
EE,Location of goods for customs examination before clearance ,"
 The location where the goods are examined by customs before clearance.",,Розташування товарів для митного огляду до оформлення,"Місце, де товари перевіряються митницею до митного оформлення."
EF,Project coordination office ,"
 Party responsible for technical coordination of works.",,Офіс координації проектів,"Сторона, відповідальна за технічну координацію робіт."
EG,"Surveyor, topographical ","
 Party responsible for topographical measurements.",,"Землемір, топографічний","Сторона, відповідальна за топографічні вимірювання."
EH,"Engineer, measurement ","
 Party responsible for quantity measurements.",,"Інженер, вимірювання","Сторона, відповідальна за вимірювання чогось."
EI,"Controller, quality ","
 Party controlling the quality of goods and workmanship for the project.",,"Контролер, якість","Сторона, яка контролює якість товару та якість виконання проекту."
EJ,"Surveyor, quantity ","
 Party responsible for the quantification and valuation of the works on behalf of the contractor.",,"Геодезист, кількість","Сторона, відповідальна за кількісну оцінку та оцінку робіт від імені підрядника."
EK,"Surveyor (professional), quantity ","
 Party responsible to the owner for the quantification and valuation of the works.",,"Геодезист (професійний), кількість","Сторона, відповідальна перед власником за кількісну оцінку та загальну оцінку робіт."
EL,Project ,"
 Party responsible for a project, e.g. a construction project.",,Проект,"Сторона, відповідальна за проект, напр. будівельний проект."
EM,Party to receive electronic memo of invoice ,"
 Party being informed about invoice issue (via EDI).",,Сторона для отримання електронної нотатки рахунку-фактури,"Сторона, проінформована про рахунок-фактуру (за допомогою EDI)."
EN,Tenderer ,"
 Firm answering an invitation to tender.",,Тендерник,"Фірма, що відповідає на запрошення до участі в тендері."
EO,Owner of equipment ,"
 Party who owns equipment.",,Власник обладнання,"Сторона, яка володіє обладнанням."
EP,Equipment drop-off party ,"
 The party which drops off equipment.",,Сторона для вивантаження обладнання,"Сторона, яка викидає обладнання."
EQ,Empty container responsible party ,"
 Party responsible for the empty container.",,"Сторона, відповідальна за порожній контейнер","Сторона, відповідальна за порожній контейнер."
ER,Empty container return agent ,"
 Party, designated by owner of containers, responsible for their collection as agreed between the owner and customer/ consignee.",,Агент з повернення порожнього контейнера,"Сторона, призначена власником контейнерів, відповідальна за їх збір за погодженням між власником та клієнтом/ одержувачем."
ES,"Contractor, lead ","
 Leader representing a grouping of co-contractors.",,Провідний підрядник,"Лідер, що представляє групу співпідрядників."
ET,Co-contractor ,"
 Member of a grouping of co-contractors.",,Співпідрядник,Учасник групи співпідрядників.
EU,"Contractor, general"," 
 Single contractor for the whole construction project, working by his own or with subcontractors.",,"Підрядник, загальний","Єдиний підрядник для всього будівельного проекту, який працює самостійно або з субпідрядниками."
EV,Subcontractor ,"
 Firm carrying out a part of the works for a contractor.",,Субпідрядник,"Фірма, що виконує частину робіт для підрядника."
EW,Subcontractor with direct payment ,"
 Subcontractor benefiting from direct payments.",,Субпідрядник з прямою оплатою,"Субпідрядник, який отримує оплату від прямих платежів."
EX,Exporter ,"
 [3030] Party who makes, or on whose behalf the export declaration is made, and who is the owner of the goods or has similar rights of disposal over them at the time when the declaration is accepted.",,Експортер,"[3030] Сторона, яка складає або від імені якої складається експортна декларація, і яка є власником товару або має подібні права розпорядження ним у момент прийняття декларації."
EY,"Subcontractor, nominated ","
 Subcontractor authorized by the owner after having been proposed.",,"Субпідрядник, висунутий","Субпідрядник, уповноважений власником після пропозиції."
EZ,"Operator, essential services ","
 Operator of essential services e.g. water, sewerage system, power.",,"Оператор, основні послуги","Оператор основних послуг, наприклад вода, каналізація, електрика."
FA,"Operator, communication channel ","
 Operator of a communication channel.",,"Оператор, канал зв'язку",Оператор каналу зв'язку.
FB,Nominated freight company ,"
 Party nominated to act as transport company or carrier for the goods.",,Висунута вантажна компанія,"Сторона, призначена виступати транспортною компанією або перевізником товару."
FC,"Contractor, main ","
 Firm or grouping of co-contractors which has been awarded the contract.",,"Підрядник, головний","Фірма або група співпідрядників, яким було надано контракт."
FD,Buyer's parent company ,"
 Parent company, e.g. holding company.",,Материнська компанія покупця,"Материнська компанія, напр. Холдингова компанія."
FE,Credit rating agency ,"
 A party which evaluates another party for credit rating.",,Кредитно-рейтингове агентство,"Сторона, яка оцінює кредитну спроможність іншої сторони в межах рейтингу."
FF,"Factor, correspondent ","
 Factoring company engaged by another factoring company to assist the letter with the services provided to the clients (sellers).",,"Фактор, кореспондуючий","Факторингова компанія, залучена іншою факторинговою компанією для надання допомоги щодо надання послуг клієнтам (продавцям)."
FG,Buyer as officially registered ,"
 Buying party as officially registered with government.",,Покупець як офіційно зареєстрований,"Сторона покупця, офіційно зареєстрована в уряді."
FH,Seller as officially registered ,"
 Selling party as officially registered with government.",,Продавець як офіційно зареєстрований,Продавець як офіційно зареєстрований урядом.
FI,Copy message to ,"
 Party that is to receive a copy of a message.",,Скопіювати повідомлення до,"Сторона, яка має отримати копію повідомлення."
FJ,Trade Union ,"
 Organisation representing employees.",,Профспілка,"Організація, що представляє працівників."
FK,Previous Trade Union ,"
 Employee organisation who previously represented an employee .",,Попередня профспілка,"Організація працівників, яка раніше представляла працівника."
FL,Passenger," 
 A person conveyed by a means of transport, other than the crew.",,Пасажир,"Особа, що перевозиться транспортним засобом, крім екіпажу."
FM,Crew member ,"
 A person manning a means of transport.",,Член екіпажу,"Людина, яка укомплектовує транспорт."
FN,Tariff issuer ,"
 [3363] The issuer of a tariff, e.g. a freight tariff.",,Емітент тарифів,"[3363] Емітент тарифу, напр. тариф на фрахт."
FO,Party performing inspection ,"
 A party which inspects something.",,"Сторона, що здійснює перевірку","Сторона, яка щось перевіряє."
FP,Freight/charges payer ,"
 Party responsible for the payment of freight.",,Платник вантажу/зборів,"Сторона, відповідальна за оплату перевезення."
FQ,Container survey agent ,"
 The container survey agency that will survey the containers.",,Агент з обстеження контейнерів,"Агентство з обстеження контейнерів, яке здійснюватиме огляд контейнерів."
FR,Message from," 
 Party where the message comes from.",,Повідомлення від,"Сторона, від якої надходить повідомлення."
FS,Party authorized to make definite a contract action ,"
 Party who has the authority to make definite a contract action.",,"Сторона, уповноважена вчиняти певні договірні дії","Сторона, яка має повноваження укладати певні договірні дії."
FT,Financial settlement party ,"
 [3450] Party responsible for either the transfer or repatriation of the funds relating to a transaction.",,Сторона фінансового розрахунку,"[3450] Сторона, відповідальна або за переказ, або за повернення коштів, пов'язаних з операцією."
FU,Hazardous material office ,"
 The office responsible for providing information regarding hazardous material.",,Офіс щодо використання небезпечних матеріалів,"Офіс, відповідальний за надання інформації щодо небезпечних матеріалів."
FV,Party providing government furnished property ,"
 The party responsible for providing government furnished property.",,"Сторона, що надає державне майно","Сторона, відповідальна за надання державного майна."
FW,Freight forwarder ,"
 [3170] Party arranging forwarding of goods.",,Експедитор,"[3170] Сторона, що організовує експедицію товарів."
FX,Current receiver ,Current receiver of the goods in a multi-step transportation process (indirect flow) involving at least one grouping centre.,,Поточний одержувач,Поточний одержувач товару у багатоетапному транспортному процесі (непрямий потік) із залученням принаймні одного центру групування.
FY,Current sender ,"
 Current sender of the goods in a multi-step transportation process (indirect flow) involving at least one grouping centre.",,Поточний відправник,Поточний відправник товару у багатоетапному транспортному процесі (непрямий потік) із залученням принаймні одного центру групування.
FZ,Grouping centre ,"
 A party in charge of groupage, including degroupage and regroupage.",,Центр групування,"Сторона, відповідальна за збірку, включаючи дегрупування та перегрупування."
GA,Road carrier ,"
 A road carrier moving cargo.",,Автомобільний перевізник,"Автомобільний перевізник, що переміщує вантаж."
GB,Chamber of commerce ,"
 Name of the Chamber of Commerce of the town where the company is registered.",,Торгово-промислова палата,"Назва торгово-промислової палати міста, де зареєстрована компанія."
GC,Goods custodian," 
 [3024] Party responsible for the keeping of goods.",,Зберігач товарів,"[3024] Сторона, відповідальна за зберігання товарів."
GD,Producer," 
 Party or person who has produced the produce.",,Виробник продукції,"Сторона або особа, яка виготовила продукцію."
GE,Registration tribunal ,"
 Name of the tribunal where the company is registered.",,Зареєстрований арбітраж,"Назва арбітражу, де зареєстрована компанія."
GF,Slot charter party ,"
 An identification code of a participant or user that books slots (space) on a ship, more likely on a long term basis on a series of sailings. He pays for the space whether he uses it or not.",,Сторона оренди слотів,"Ідентифікаційний код учасника або користувача, який бронює слоти (простір) на кораблі, швидше за все, на довгостроковій основі для серії плавань. Він платить за простір, використовує він його чи ні."
GH,Applicant for job," 
 A person who applied for a job.",,Кандидат на роботу,"Людина, яка подала заявку на роботу."
GI,Spouse ,"
 Person is a spouse.",,Дружина,Людина є дружиною.
GJ,Mother ,"
 Person is a mother.",,Мати,Людина є матір'ю.
GK,Father ,"
 Person is a father.",,Батько,Людина є батьком.
GL,Socially insured person ,"
 A person who is registered in a social security scheme.",,Особа з соціальним страхуванням,"Особа, яка зареєстрована в системі соціального страхування."
GM,Inventory controller ,"
 To specifically identify the party in charge of inventory control.",,Контролер запасів,"Для конкретного визначення сторони, відповідальної за контроль інвентаризації."
GN,Processor ,"
 Party or person who has or will apply a process.",,Обробник,"Сторона або особа, яка застосовує або буде здійснювати процес."
GO,Goods owner ,"
 The party which owns the goods.",,Власник товару,"Сторона, якій належить товар."
GP,Packer ,"
 Party or person who has undertaken or will undertake packing.",,Пакувальник,"Сторона або особа, яка взяла або візьметься за пакування."
GQ,Slaughterer," 
 Party or person who has undertaken or will undertake a slaughter.",,Забійник,"Сторона або особа, яка здійснила або здійснить забій."
GR,Goods releasing party ,"
 [3026] Party entitled to authorize release of goods from custodian.",,Сторона відпуску товарів,"[3026] Сторона, що має право санкціонувати відпуск товарів від зберігача."
GS,Consignor's representative ,"
 Party authorised to represent the consignor.",,Представник вантажовідправника,"Сторона, уповноважена представляти вантажовідправника."
GT,Rail carrier ,"
 A carrier moving cargo, including containers, via rail.",,Залізничний перевізник,"Перевізник, що переміщує вантаж, включаючи контейнери, залізничним транспортом."
GU,Originator of article number ,"
 A code identifying the party which created a specific article number.",,Автор номера статті,"Код, що ідентифікує сторону, яка створила певний номер статті."
GV,Procurement responsibility for order ,"
 A code used to identify the organization which is responsible for the procurement.",,Відповідальність за закупівлю,"Код, який використовується для ідентифікації організації, відповідальної за закупівлі."
GW,Party fulfilling all operations," 
 Code indicating the fact that the party identified carries out all operations within that company's activities.",,"Сторона, що виконує всі операції","Код, який вказує на те, що ідентифікована сторона здійснює всі операції в рамках діяльності цієї компанії."
GX,Central catalogue party ,"
 Party controlling a central catalogue.",,Сторона центрального каталогу,"Сторона, що контролює центральний каталог."
GY,Inventory reporting party ,"
 Party reporting inventory information.",,"Сторона, що звітує про інвентаризацію","Сторона, що подає інформацію про інвентаризацію."
GZ,Substitute supplier ,"
 Party which may be in a position to supply products or services should the main usual supplier be unable to do so.",,Замінник постачальника,"Сторона, яка може бути в змозі постачати продукцію або послуги, якщо основний звичайний постачальник не зможе цього зробити."
HA,Party which delivers consignments to the terminal ,"
 Party which delivers consignments to a terminal.",,"Сторона, яка доставляє вантажі на термінал","Сторона, яка доставляє вантажі на термінал."
HB,Party which picks up consignments from the terminal ,"
 Party which picks up consignments from a terminal.",,"Сторона, яка забирає вантажі з терміналу","Сторона, яка забирає вантажі з терміналу."
HC,Transit freight forwarder ,"
 Freight forwarder to whom transit consignments are addressed, and from whom they are to be on-forwarded.",,Транзитний експедитор,"Експедитор, якому адресовані транзитні вантажі, і від якого вони мають бути переадресовані."
HD,Inspection and acceptance party ,"
 The party who will perform inspection and acceptance.",,Сторона огляду та приймання,"Сторона, яка здійснюватиме перевірку та приймання."
HE,Transportation office ,"
 The office that provides transportation information.",,Офіс транспортування,"Офіс, який надає транспортну інформацію."
HF,Contract administration office ,"
 The office responsible for the administration of a contract.",,Офіс управління контрактом,"Офіс, відповідальний за адміністрування контракту."
HG,Investigator ,"
 A party who conducts investigations.",,Слідчий,"Сторона, яка проводить розслідування."
HH,Audit office ,"
 The office responsible for conducting audits.",,Аудиторська служба,"Офіс, відповідальний за проведення перевірок."
HI,Requestor ,"
 The party requesting an action.",,Запитувач,"Сторона, яка вимагає дії."
HJ,Foreign disclosure information office ,"
 The office that reviews sensitive information for foreign disclosure.",,Орган розкриття інформації за кордоном,"Орган, який перевіряє конфіденційну інформацію на предмет розкриття за кордоном."
HK,Mark-for party ,"
 The party within an organization for whom the material is marked to be delivered.",,Помітка для сторони,"Сторона в організації, для якої матеріал позначається для доставки."
HL,Party to receive reports ,"
 The party to whom reports are to be submitted.",,Сторона для отримання звітів,"Сторона, якій необхідно подати звіти."
HM,Alternative manufacturer ,"
 Party identification of an alternative manufacturer for a product.",,Альтернативний виробник,Ідентифікація сторони - альтернативного виробника товару.
HN,Service performer ,"
 The party who is performing a service.",,Виконавець послуг,"Сторона, яка надає послугу."
HO,Shipper's association," 
 An association of shippers.",,Асоціація вантажовідправників,Асоціація вантажовідправників.
HP,Final message recipient ,"
 To identify the final recipient of the message.",,Кінцевий одержувач повідомлення,Для ідентифікації кінцевого одержувача повідомлення.
HQ,Account owner," 
 Identifies the owner of the account.",,Власник облікового запису,Ідентифікує власника облікового запису.
HR,Shipping line service ,"
 Identifies the shipping line service organization.",,Обслуговування лінії доставки,Визначає організацію обслуговування судноплавної лінії.
HS,Creditor ,"
 Party to whom payment is due.",,Кредитор,"Сторона, якій належить виплата."
HT,Clearing house ,"
 Institution through which funds will be paid.",,Розрахункова установа,"Установа, через яку будуть виплачуватися кошти."
HU,Ordering bank ,"
 Bank which instructed the sender to act on the transaction(s).",,Банк-замовник,"Банк, який доручив відправнику діяти щодо транзакції (транзакцій)."
HV,Receiver of funds ,"
 Identifies the financial party that receives the funds.",,Одержувач коштів,"Визначає фінансову сторону, яка отримує кошти."
HW,Sender of funds ,"
 Identifies the party that sends the funds.",,Відправник коштів,"Визначає сторону, яка надсилає кошти."
HX,Debtor ,"
 Party from whom payment is due.",,Боржник,"Сторона, від якої належить здійснити оплату."
HY,Presenting bank," 
 The bank which presents documents to the drawee.",,Представляючий банк,"Банк, який пред'являє документи трасату."
HZ,Work team ,"
 Team responsible for performing work.",,Робочий колектив,"Команда, відповідальна за виконання роботи."
I1,Intermediary bank 1 ,"
 A financial institution between the ordered bank and the beneficiary's bank.",,Банк-посередник 1,Фінансова установа між визначеним банком та банком бенефіціара.
I2,Intermediary bank 2 ,"
 A financial institution between the ordered bank and the beneficiary's bank.",,Банк-посередник 2,Фінансова установа між визначеним банком та банком бенефіціара.
IB,Intermediary/broker ,"
 A person intervening between parties to produce agreement or reconciliation.",,Посередник/брокер,"Особа, яка втручається між сторонами для досягнення угоди або примирення."
