№ з/п,Параметр,Тип [1]_,Формат,Опис
6.3,name,M,string,ПІБ підписанта (відповідальної особи Вантажовідправника)
6.4,position,O,string,Посада підписанта (відповідальної особи Вантажовідправника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Вантажовідправника)
7,**signatures** (SigningPartyRoleCode=CA),M, ,"КЕП Перевізника"
7.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (Перевізника)
7.4,position,O,string,Посада підписанта (Перевізника)
7.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Перевізника)
8,**signatures** (SigningPartyRoleCode=CN),M,,"КЕП Вантажоодержувача"
8.1,signingPartyRoleCode,M,string,Роль підписанта (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
8.2,partySignature,M,string,Підпис (base64 підпису p7s)
8.3,name,M,string,ПІБ підписанта (відповідальної особи Вантажоодержувача)
8.4,position,O,string,Посада підписанта (відповідальної особи Вантажоодержувача)
8.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Вантажоодержувача)
